Ссылка;Название;Сайт;Телефон;Email;Рубрики
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380464?&stand=8B184;ANPING COUNTY GUANGMING METAL PRODUCTS CO. LTD;https://www.gmwiremesh.com/;863 187 967 688;liyanan@apgmjs.com;Оборудование и приспособления для очистки забоя при бурении ствола скважины. Буровые насосы, манифольды, шланги, вибросита, гидроциклоны, песко- и глиноотделители, шламоуловители, илоотделители, осадители, приемные емкости, центрифуги, дегазаторы бурового раствора Установки ситогидроциклонные, пескоотделители и сита
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380944?&stand=8D155;ASHAPURA INTERNATIONAL LTD;http://www.ashapura.com/;912 266 651 700;maya@ashapura.com;Бурение нефтяных и газовых скважин Сервис буровых растворов
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380747?&stand=8B090;BEIJING ZHH FLOW CONTROL SYSTEM CO. LTD;http://www.zhh-fcs.com/;8 617 836 970 745;yulia@ht11valve.com;Криогенные вентили, приводы и активаторы Нагнетательные манифольды, запорная и регулирующая арматура
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380933?&stand=8B045;CNPC JICHAI POWER COMPANY LIMITED;http://jichai.cnpc.com.cn/;86 531-87422800;414118629@qq.com;Буровые установки Привод бурильной колонны
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380156?&stand=8C196;CNPS.COM LIMITED;http://www.cnps.com/;8 613 695 462 223;sales@cnps.com;Транспорт сырой нефти и газа на промыслах. Трубы и трубопроводная арматура промысловых трубопроводов. Насосы дожимные, компрессоры Насосно-компрессорные трубы, устьевое и забойное оборудование добывающих скважин, фильтры
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380485?&stand=8E170;CZ ELECTRIC CO. LTD;http://www.cz-ex.com/;8 657 383 883 599;czwh@cz-ex.com;Электрическое оборудование. Промышленное освещение Осветительное оборудование
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380170?&stand=8C054;EPC-КОМПЛЕКТ;http://epc.su/;7 (8442) 61-28-31;info@epc.su;Электрическое оборудование. Промышленное освещение Кабельная продукция
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380263?&stand=8B110;FEEJOY;https://www.neftegaz-expo.ru/;7 (499) 967-7799;sales.msh@ultra-gk.ru;Измерительные приборы, расходомеры, сенсоры, управляющие устройства Системы автоматики и телемеханики. Контрольно-измерительные приборы, регуляторы технологических процессов переработки нефти и газа
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380436?&stand=8C075;FX FLOW CONTROL BV;http://www.fxflow.ru/;8 618 072 111 115;info@fxflow.cn;Криогенные вентили, приводы и активаторы Шаровые краны под газ
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380431?&stand=8C188;GIAHAR PRECISION METAL CO. LTD;http://www.precisioncasting.ru/;8 604 214 832 187;giahar@giahar-casting.com;Оборудование для поддержания пластового давления Способы и оборудование для добычи нефти и газа
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380680?&stand=8D150;GREATALL DYNAMIC CO. LTD;https://www.greatall.com/index_russian.aspx;862 750 757 677;info@greatall.com;Компрессоры для закачки газа в подземные хранилища Поршневые компрессоры
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380880?&stand=8D190;GUANGHAN N&D CARBIDE CO. LTD;http://www.ndcarbide.com/;868 385 631 888;info@ndcarbide.com;Установки погружных центробежных электронасосов для поддержания пластового давления Блоки насосные, агрегаты насосные
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380607?&stand=8D150;HEBEI JERRY PUMP CO. LTD;https://www.hbjrsyjx.com/;8 615 133 441 865;admin@hbjrsyjx.com;Глубинно-насосная добыча нефти
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380465?&stand=8B188;HEBEI OUHAO PIPELINE EQUIPMENT CO. LTD;https://www.hbohgd.com/;8 613 283 226 888;info@hbohgd.com;Транспорт сырой нефти и газа на промыслах. Трубы и трубопроводная арматура промысловых трубопроводов. Насосы дожимные, компрессоры Технологические трубопроводы. Оборудование, арматура. Насосы технологических трубопроводов. Трубная продукция
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380430?&stand=8E185;HEBEI YONGMING GEOLOGICAL PROJECT MACHINERY CO. LTD;http://www.hbymjx.com/;8 613 854 627 917;clark.wang@sdtype.com;Буровые установки Оборудование и приспособления для очистки забоя при бурении ствола скважины. Буровые насосы, манифольды, шланги, вибросита, гидроциклоны, песко- и глиноотделители, шламоуловители, илоотделители, осадители, приемные емкости, центрифуги, дегазаторы бурового раствора
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380508?&stand=8B174;HEILONGJIANG NORTH SHUANGJIA DRILLING TOOLS CO. LTD;https://nsj-drilling.ru/;8 615 145 386 673;grace@nsj-drilling.com;Оборудование и приспособления для спуско-подъемных операций при бурении Инструмент ловильный для ликвидации аварий при бурении
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380435?&stand=8C170;HQ Seals;http://www.hq-seal.com/;8 618 962 276 627;seals@hq-seal.com;Торцевые уплотнения для насосов, компрессоров и мешалок
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380315?&stand=8D170;HUATONG;https://www.ct-pipes.ru/;7 (916) 200-3553;songzhigang@huatongcables.com;Кабельная продукция Оборудование и инструмент для подземного ремонта скважин
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380164?&stand=8A055;INNERICA;http://www.innerica.ru/;7 (495) 920-5164;office@innerica.ru;Программное обеспечение Информационные технологии для инжиниринга Импортозамещение
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380882?&stand=8D192;JIANGSU HUAYING VALVES CO. LTD;http://www.jshyv.com/;8 651 085 400 056;darcy@jshyv.com;Криогенные вентили, приводы и активаторы Оборудование и оснастка линейной части трубопроводов. Трубы, запорная арматура, компенсаторы
https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380324?&stand=8D182;JIANGSU RUDONG LIANFENG PETROLEUM MACHINERY CO. LTD;http://www.srlf.cn/en/;8 651 384 108 108;rdlfyx@126.com;Технические средства для подвешивания бурильных труб. Крюки, штропы, элеваторы, канатные зажимы Инструменты для свинчивания и развинчивания бурильных труб
