Ссылка;Название;Сайт;Телефон;Email;Рубрики
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380150?&stand=6E030";"BERG Compressors";"http://www.berg-air.ru/";"+7 (495) 580-7708";"mail@berg-air.ru";"Техника и технологии освоения скважин. Компрессоры для освоения скважин после бурения Транспорт сырой нефти и газа на промыслах. Трубы и трубопроводная арматура промысловых трубопроводов. Насосы дожимные, компрессоры"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380703?&stand=6D112";"GOODEL";"https://goodel.ru/";"8 800 100-0546";"marketing@rusweld.com";"Резервуары Импортозамещение Строительно-дорожная техника"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380348?&stand=6D020";"GRANDE-TEK FLOW CONTROL CO. LTD";"http://www.grandetek.com/";"+86 3172209658";"chris@grandetek.com";"Шаровые краны под газ Технологические насосы и арматура"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380352?&stand=6D020";"HEBEI XINYUE HIGH PRESSURE FLANGE AND PIPE FITTING CO. LTD";"https://ru.hbxychina.com/";"+86 3176838919";"hbxy@hbxychina.com";"Транспорт сырой нефти и газа на промыслах. Трубы и трубопроводная арматура промысловых трубопроводов. Насосы дожимные, компрессоры Технологические трубопроводы. Оборудование, арматура. Насосы технологических трубопроводов. Трубная продукция"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380623?&stand=6D020";"LISHUI BOUTIQUE VALVE CO. LTD";"http://www.btq-valve.com/";"+86 577-57678729";"sales@btq-valve.com";"Насосы, клапаны и фильтры для очистки от примесей Шаровые краны под газ"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380372?&stand=6D020";"NANTONG STECH ENERGY TECHNOLOGY CO. LTD";"http://www.stechfluids.com/";"+86 18511535136";"leroy@stechenergy.com";"Запорно-регулирующая арматура Нагнетательные манифольды, запорная и регулирующая арматура"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380349?&stand=6D020";"SHANDONG MINGZHU DRILLING TOOLS CO. LTD";"http://www.mingzhudrilltool.cn/";"+86 13854644144";"wangzq@mingzhugroup.com";"Бурильные трубы Трубы бурильные"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380346?&stand=6D020";"SHANXI GUANLI FLANGE CO. LTD";"http://www.sxguanliflange.com/";"+86 3515634868";"sales@sxguanliflange.com";"Транспорт сырой нефти и газа на промыслах. Трубы и трубопроводная арматура промысловых трубопроводов. Насосы дожимные, компрессоры Технологические трубопроводы. Оборудование, арматура. Насосы технологических трубопроводов. Трубная продукция"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380923?&stand=6D138";"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА — ЮГРЫ «ТЕХНОПАРК ВЫСОКИХ ТЕХНОЛОГИЙ»";"https://www.tp86.ru/";"+7 (3467) 388-217";"tp@tp86.ru";"Лабораторное оборудование и аналитические приборы, мебель. Передвижные лаборатории Методы, оборудование и аппаратура для геофизических исследований скважин Импортозамещение"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380099?&stand=6D090";"АГВ, АО";"https://agv.ru/";"+7 (495) 777-0135/36";"agv@agv.ag";"Компрессоры и насосы Техника и технологии освоения скважин. Компрессоры для освоения скважин после бурения Компрессорные станции Компрессоры Импортозамещение Компрессоры для закачки газа в подземные хранилища Оборудование головных и промежуточных насосных станций. Компрессоры для транспорта газа по магистральным трубопроводам Поршневые компрессоры"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380574?&stand=6D140";"АК ИНЖИНИРИНГ, ООО";"https://ak-engineering.ru/";"8 800 250-0138";"info@ak-engineering.ru";"Торцевые уплотнения для насосов, компрессоров и мешалок Производство уплотнений (РТИ)"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380513?&stand=6D122";"АЛЬТЕРНАТИВНЫЕ МЕХАНИЧЕСКИЕ СИСТЕМЫ, ООО";"https://am-systems.ru/";"+7 (495) 669-8539";"info@am-systems.ru";"Оборудование и приспособления для очистки забоя при бурении ствола скважины. Буровые насосы, манифольды, шланги, вибросита, гидроциклоны, песко- и глиноотделители, шламоуловители, илоотделители, осадители, приемные емкости, центрифуги, дегазаторы бурового раствора Оборудование циркуляционных систем (ЦС) по очистке и приготовлению буровых растворов"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380530?&stand=6E080";"АНОД, Научно-производственный центр, ООО";"http://www.anod.ru/";"+7 (831) 233-77-03";"info@anod.ru";"Торцевые уплотнения для насосов, компрессоров и мешалок Нефтехимическое оборудование"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380519?&stand=6D034";"АРМПРОМКОНСАЛТИНГ, ООО";"http://armpromconsulting.ru/";"+7 (977) 854-4684";"engineering@armprom.su";"Программное обеспечение Импортозамещение Системы автоматики и телемеханики. Контрольно-измерительные приборы, регуляторы технологических процессов переработки нефти и газа"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380911?&stand=6A020";"АРЬЯ СУПЕР ФОРДЖ, ООО";"http://asaf.pro/";"+7 4867777680";"aryasuperforgelivni@mail.ru";"Эксплуатация магистральных трубопроводов нефти и газа Технологические насосы и арматура"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380704?&stand=6D112";"БЕНТИЗОЛ, ООО";"http://bentizol.ru/";"+7 (35231) 36-539";"denisova@bentizol.ru";"Тепло-, гидро- и звукоизоляция Проектирование и обустройство нефтегазовых промыслов"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380061?&stand=6C110";"БЗМ, ООО";"http://www.bzmr.ru/";"+7 (495) 150-1450";"mrvd@bzmr.ru";"Оборудование и приспособления для очистки забоя при бурении ствола скважины. Буровые насосы, манифольды, шланги, вибросита, гидроциклоны, песко- и глиноотделители, шламоуловители, илоотделители, осадители, приемные емкости, центрифуги, дегазаторы бурового раствора Транспорт сырой нефти и газа на промыслах. Трубы и трубопроводная арматура промысловых трубопроводов. Насосы дожимные, компрессоры"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380928?&stand=6D120";"ВАКУУММАШ, НПО, ООО";"https://vakuummash.ru/";"+7 (3412) 918-650";"zakaz@vakuummash.com";"Насосное, вентиляционное и компрессорное оборудование"
