Ссылка;Название;Сайт;Телефон;Email;Рубрики
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380897?&stand=10B252";"AMFLO FLUID SYSTEMS & COMPONENTS CO. LTD";"https://en.amfloco.com/";"+86 2157736601";"info@amfloco.com";"Проектирование и обустройство нефтегазовых промыслов Способы и оборудование для добычи нефти и газа"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380562?&stand=10C222";"ANHUI EXXON NEW MATERIALS CO. LTD";"http://www.newexxon.com/";"+86 18539918251";"ritali@newexxon.com";"Бурение нефтяных и газовых скважин Буровые долота"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380423?&stand=10C186";"ANHUI HENGDA MECHANICAL SEAL MANUFACTURING CO. LTD";"http://www.hengmiseal.com/";"+86 13868468219";"hengmi@meseal.com";"Узлы и детали насосов сменные"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380353?&stand=10C192";"ANHUI TIANRUN CHEMICALS CO. LTD";"http://www.tianrun.com.cn/";"+86 5523951207";"wuping@tianrun.com.cn";"Новые химические вещества и материалы, применяемые в нефтегазовой промышленности"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380357?&stand=10C200";"ANPING SHENGJIA HARDWARE MESH CO. LTD";"http://www.shakerscreen.org/";"+86 13315951982";"info@shakerscreen.org";"Оборудование и приспособления для очистки забоя при бурении ствола скважины. Буровые насосы, манифольды, шланги, вибросита, гидроциклоны, песко- и глиноотделители, шламоуловители, илоотделители, осадители, приемные емкости, центрифуги, дегазаторы бурового раствора"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380534?&stand=10B055";"BAOWU SPECIAL METALLURGY CO. LTD";"http://www.baowuteye.com/";"+86 2126032633";"bsm_sales@baosteeel.com";"Техника и технология крепления ствола скважины. Технологическая оснастка обсадных колонн. Обсадные трубы и их соединения. Башмаки обсадных колонн, хвостовики, скважинные фильтры, клапаны колонные Центрирование обсадных колонн. Центраторы"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380205?&stand=10C035";"BEIJING BOHUA XINZHI TECHNOLOGY INC.";"https://en.bhxz.net/";"+86 10-64446199";"info@bhxz.net";"Неразрушающий контроль и техническая диагностика"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380365?&stand=10D173";"BEIJING BSS ENERGY EQUIPMENT CO. LTD";"http://www.w2e.org.cn/";"+86-10-64229311";"lichaogang@w2e.org.cn";"Оборудование и технологии обработки и сжижения природного газа Нефтехимическое оборудование"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380516?&stand=10C065";"BEIJING BWG ENERGY TECHNOLOGY GROUP CO. LTD";"http://www.bwg-group.com/";"+86 010-65771862";"18904022723@163.com";"Оборудование и технология наклонно-направленного бурения. Отклонители, забойные инклинометры Аппаратура для контроля за проводкой ствола скважины. Контроль и регулирование технологических параметров бурения"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380194?&stand=10D158";"BEIJING CHENG YI CHEMICAL CO. LTD";"http://www.cy-chemicals.com/";"+86 1083834996";"sale04@otischem.com";"Бурение нефтяных и газовых скважин"
