—Ò˚ÎÍ‡;Õ‡Á‚‡ÌËÂ;—‡ÈÚ;“ÂÎÂÙÓÌ;Email
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374544?&stand=1E50";"ADVERTOLOGY";"http://advertology.ru/";"+7 (968) 728-7427";"news@advertology.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374548?&stand=1C11";"ANHUI XINTAO PHOTOELECTRIC TECHNOLOGY CO. LTD";"http://www.xintaogroup.cn/";"+86 18218746981";"sales@xintaogroup.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375020?&stand=1B35";"BEIJING JUCAIYUAN DIGITAL TECHNOLOGY CO. LTD";"http://www.savenink.com/";"+86 1060546678";"vanessa@jetcmyk.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375017?&stand=1B20";"ECONUO TECHNOLOGY CO. LTD";"http://www.econuodigital.com/";"+86 75529432177";"sales@econuodigital.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374552?&stand=1F30";"FUJIAN YEJINGHUI OPTICAL TECHNOLOGY CO. LTD";"https://yjh-reflective.com/";"+86 18859596862";"Vinciakey@gmail.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374519?&stand=1E48";"GIFT REVIEW";"http://www.gift-review.ru/";"+7 (495) 997-0154";"info@gift-review.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375063?&stand=1A05";"GUANGDONG MEDIA FACADE COMPANY LTD";"http://www.media-facade.net/";"+86 13632804319";"ru@media-facade.net"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375024?&stand=1A15";"GUANGZHOU YINGHE ELECTRONIC INSTRUMENTS CO. LTD";"http://www.yinghecolor.com/";"+86 15072439352";"yinghe013@yh114.cn"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374550?&stand=1F32";"HANGZHOU OLEG INTERNATIONAL TRADE CO. LTD";"http://www.olegacrylicfactory.com/";"+86 18668142365";"yimanxu@olegacrylicfactory.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374546?&stand=1C10";"HANGZHOU SOYANG TECHNOLOGIES CO. LTD";"http://www.soyang.net/";"";"Salt@soyang.net"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374565?&stand=1F35";"HEBEI JIUHONG LASER TECHNOLOGY CO. LTD";"http://www.johov.com/";"+86 18636307900";"jovhojovho@gmail.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375018?&stand=1B25";"JC COATED FABRICS CO. LTD";"http://www.jclfex.com/";"+86 13714733431";"service@jcflex.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374880?&stand=1D41";"JIANGXI MINGLIANG ACRYLIC CO. LTD";"https://brightacrylic.en.alibaba.com/";"+86 13868552235";"Sales3@brightacrylic.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374534?&stand=1C35";"JIELIN POWER SUPPLY";"http://www.yongjielin.com/";"+86 755 85241610";"chris@yongjielin.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374540?&stand=1C30";"JILIN YONGLI LASER TECHNOLOGY CO. LTD";"http://www.yl-laser.com/";"+86 43184623618";"lark@yl-laser.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374545?&stand=1D20";"LASERCUT";"http://www.lasercut.ru/";"+7 (812) 309-9804";"info@lasercut.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/373071?&stand=1A30";"LED-SIB";"http://led-sib.ru/";"8 800 551-6110";"led-sib@mail.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375021?&stand=1B40";"NANYANG DESHIWEI DIGITAL TECHNOLOGY CO. LTD";"http://www.nanyangdsw.com/";"+86 37783986350";"jack.zhang@nanyangdsw.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374533?&stand=1E41";"OUJIA (CHINA) ACRYLIC SHEET";"http://www.cnoujiaacrylic.com/";"+86 18039676609";"eason@oujiaacryli.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374554?&stand=1E24";"PHOTO USA ELECTRONIC GRAPHIC INC.";"http://www.meikeda.com.cn/";"+86 13810564705";"Paul.zhang@meikeda.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374555?&stand=1D44";"SHANGHAI NAR INDUSTRIAL CO. LTD";"http://www.nar.com.cn/";"+86 2131272888";"info@nar.com.cn"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375026?&stand=1D43";"SHANGHAI SIGNAPEX NEW MATERIALS CO. LTD";"http://www.signapex.com/";"+86 13916564289";"sophiaw@signapex.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374529?&stand=1E40";"SHENGWEI INDUSTRIAL CO. LTD";"https://wzshengwei.en.alibaba.com/";"+86 021 33555238";"info@shengwei-industrial.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375022?&stand=1A07";"SHENZHEN LITO ADVERTISING EQUIPMENT CO. LTD";"http://www.ltflex.com/";"+86 13412255889";"cathy_yuan@ltflex.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374557?&stand=1E45";"SHIJIAZHUANG KANGFEI BUILDING MATERIAL CO. LTD";"http://www.kangfei-pvc.com/";"+86 15076199986";"viviencao2009@126.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375000?&stand=1C21";"SMART STEAM";"http://www.smart-steam.ru/";"8 800 201-2999";"info@smart-steam.ru"
